Sort By,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort By,RPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smaller = Better?,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tier,RSC ID,Name,Team,Conference,SBV,IDR,RPV,GP,W,L,Win%,MVPs,Pts,Goals,Assists,Saves,Shots,Shot %,PPG,GPG,APG,SvPG,ShPG,Cycles,Hat Tricks,Playmakers,Saviors,DI,DT
Rival,RSC006581,Light_Wigglebean,Mining Legion,Solar,82.9,97.0,90.0,38,25,13,0.658,12,14975,44,29,30,134,32.84%,394.08,1.16,0.76,0.79,3.53,5,5,2,0,56,41
Rival,RSC006448,Burger.101,Iris,Lunar,82.9,93.3,88.1,32,26,6,0.813,6,12613,37,23,31,109,33.94%,394.16,1.16,0.72,0.97,3.41,5,5,1,2,21,14
Rival,RSC007920,EKA Luminousity,Bulldozers,Lunar,75.3,96.0,85.6,40,32,8,0.800,15,18501,53,22,74,143,37.06%,462.53,1.33,0.55,1.85,3.58,11,6,0,11,17,38
Rival,RSC007937,Spidey,Ocelots,Solar,75.6,83.8,79.7,32,19,13,0.594,9,12211,34,17,39,112,30.36%,381.59,1.06,0.53,1.22,3.50,5,3,1,3,23,22
Rival,RSC005482,Benny!,Ocelots,Solar,79.3,77.1,78.2,30,20,10,0.667,10,11890,31,19,35,82,37.80%,396.33,1.03,0.63,1.17,2.73,9,1,1,3,32,26
Rival,RSC006338,mykul.457,Hue Heroes,Solar,66.2,87.7,77.0,2,1,1,0.500,0,752,1,3,2,5,20.00%,376.00,0.50,1.50,1.00,2.50,0,0,1,0,0,1
Rival,RSC005287,the chosen one,Asiago Arsonists,Lunar,83.7,66.3,75.0,40,19,21,0.475,12,16431,29,28,59,112,25.89%,410.78,0.73,0.70,1.48,2.80,11,2,1,6,53,47
Rival,RSC007697,Commander Lucas,"Blizzards
Phantoms",Lunar,70.5,78.6,74.6,11,5,6,0.455,4,4753,13,5,16,40,32.50%,432.09,1.18,0.45,1.45,3.64,3,2,0,2,9,5
Rival,RSC005518,BigDaddyDeVito,Jetstream,Lunar,69.0,78.1,73.5,32,16,16,0.500,9,13724,33,17,52,102,32.35%,428.88,1.03,0.53,1.63,3.19,10,2,1,8,26,43
Rival,RSC007930,Ziffy,"50 Cent
Hot Wings",Lunar,61.7,85.3,73.5,29,18,11,0.621,5,10674,29,27,30,93,31.18%,368.07,1.00,0.93,1.03,3.21,7,1,2,3,23,26
Rival,RSC006678,EyeSucka,Mining Legion,Solar,68.2,78.7,73.4,13,7,6,0.538,4,5216,13,11,23,32,40.63%,401.23,1.00,0.85,1.77,2.46,4,0,1,2,3,13
Rival,RSC002930,voakes,Hippos,Lunar,67.2,79.5,73.4,36,17,19,0.472,5,14972,36,28,64,103,34.95%,415.89,1.00,0.78,1.78,2.86,18,2,1,8,34,50
